Time,PID,Tickets,Pass,Stride,Runtime
14187,5,1,0,1024,1419
14187,4,8,0,128,10
14187,6,2,0,512,1418
14187,7,4,0,256,1418
14187,8,8,0,128,1418
14187,9,16,0,64,1417
14187,10,32,0,32,1417
14187,11,32,0,32,1417
14187,12,32,0,32,1417
14187,13,32,0,32,1417
14187,14,32,0,32,1417
14913,5,1,0,1024,1491
14913,4,8,0,128,11
14913,6,2,0,512,1490
14913,7,4,0,256,1490
14913,8,8,0,128,1490
14913,9,16,0,64,1489
14913,10,32,0,32,1489
14913,11,32,0,32,1489
14913,12,32,0,32,1489
14913,13,32,0,32,1489
14913,14,32,0,32,1489
14913,15,32,0,32,0
14913,16,32,0,32,0
14913,17,8,0,128,0
14913,18,2,0,512,0
14913,19,8,0,128,0
14913,20,8,0,128,0
16689,5,1,0,1024,1602
16689,4,8,0,128,11
16689,6,2,0,512,1601
16689,7,4,0,256,1601
16689,8,8,0,128,1601
16689,9,16,0,64,1600
16689,10,32,0,32,1600
16689,11,32,0,32,1600
16689,12,32,0,32,1600
16689,13,32,0,32,1600
16689,14,32,0,32,1600
16689,15,32,0,32,111
16689,16,32,0,32,111
16689,17,8,0,128,111
16689,18,2,0,512,111
16689,19,8,0,128,111
16689,20,8,0,128,110
18385,5,1,0,1024,1708
18385,4,8,0,128,11
18385,6,2,0,512,1707
18385,7,4,0,256,1707
18385,8,8,0,128,1707
18385,9,16,0,64,1706
18385,10,32,0,32,1706
18385,11,32,0,32,1706
18385,12,32,0,32,1706
18385,13,32,0,32,1706
18385,14,32,0,32,1706
18385,15,32,0,32,217
18385,16,32,0,32,217
18385,17,8,0,128,217
18385,18,2,0,512,217
18385,19,8,0,128,217
18385,20,8,0,128,216
20161,5,1,0,1024,1819
20161,4,8,0,128,11
20161,6,2,0,512,1818
20161,7,4,0,256,1818
20161,8,8,0,128,1818
20161,9,16,0,64,1817
20161,10,32,0,32,1817
20161,11,32,0,32,1817
20161,12,32,0,32,1817
20161,13,32,0,32,1817
20161,14,32,0,32,1817
20161,15,32,0,32,328
20161,16,32,0,32,328
20161,17,8,0,128,328
20161,18,2,0,512,328
20161,19,8,0,128,328
20161,20,8,0,128,327
21937,5,1,0,1024,1930
21937,4,8,0,128,11
21937,6,2,0,512,1929
21937,7,4,0,256,1929
21937,8,8,0,128,1929
